id	count	name	formula
SC6	1	N-{(1S,2R)-1-(3,5-DIFLUOROBENZYL)-2-HYDROXY-2-[(2R,4R)-4-PHENOXYPYRROLIDIN-2-YL]ETHYL}-3-{[(2R)-2-(METHOXYMETHYL)PYRROLIDIN-1-YL]CARBONYL}-5-METHYLBENZAMIDE	C34 H39 F2 N3 O5
A00	1	N-[(5S)-5-{[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO}-6-HYDROXYHEXYL]-NALPHA-(METHOXYCARBONYL)-BETA-PHENYL-L-PHENYLALANINAMIDE	C33 H44 N4 O6 S
AD1	1	(3S)-3-HYDROXY-1-METHYL-2,3-DIHYDRO-1H-INDOLE-5,6-DIONE	C9 H9 N O3
0AS	1	ASIATIC ACID	C30 H48 O5
0MA	1	MASLINIC ACID	C30 H46 O4
F55	1	N-{[(4-CHLOROPHENYL)CARBONYL]CARBAMOYL}-BETA-D-GLUCOPYRANOSYLAMINE	C14 H17 CL N2 O7
HBZ	1	N-{[(4-HYDROXYPHENYL)CARBONYL]CARBAMOYL}-BETA-D-GLUCOPYRANOSYLAMINE	C14 H18 N2 O8
NBY	1	N-{[(4-NITROPHENYL)CARBONYL]CARBAMOYL}-BETA-D-GLUCOPYRANOSYLAMINE	C14 H17 N3 O9
NBX	1	N-{[(4-AMINOPHENYL)CARBONYL]CARBAMOYL}-BETA-D-GLUCOPYRANOSYLAMINE	C14 H19 N3 O7
QN1	1	4,4'-[(3S,4S)-PYRROLIDINE-3,4-DIYLBIS({[4-(TRIFLUOROMETHYL)BENZYL]IMINO}SULFONYL)]DIBENZAMIDE	C34 H31 F6 N5 O6 S2
QN2	1	N,N'-(3S,4S)-PYRROLIDINE-3,4-DIYLBIS[N-(4-IODOBENZYL)BENZENESULFONAMIDE]	C30 H29 I2 N3 O4 S2
QN3	1	N,N'-(3S,4S)-PYRROLIDINE-3,4-DIYLBIS(N-BENZYL-2-CHLOROBENZENESULFONAMIDE)	C30 H29 CL2 N3 O4 S2
CDZ	1	3,5-DIHYDROXY-4,6,6-TRIS(3-METHYLBUT-2-EN-1-YL)-2-(2-METHYLPROPANOYL)CYCLOHEXA-2,4-DIEN-1-ONE	C25 H36 O4
UDT	1	O-DECYL HYDROGEN THIOCARBONATE	C11 H22 O2 S
MDX	1	11-MERCAPTOUNDECANOIC ACID	C11 H22 O2 S
VZZ	1	11-[(MERCAPTOCARBONYL)OXY]UNDECANOIC ACID	C12 H22 O4 S
3CC	1	N-[(2R)-5-(AMINOSULFONYL)-2,3-DIHYDRO-1H-INDEN-2-YL]-2-PROPYLPENTANAMIDE	C17 H26 N2 O3 S
MAJ	1	INDANE-5-SULFONAMIDE	C9 H11 N O2 S
448	1	(2R)-4-[(8R)-8-METHYL-2-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[1,5-A]PYRAZIN-7(8H)-YL]-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE	C17 H17 F6 N5 O
SG4	1	3,4-DI-O-ACETYL-6-O-SULFAMOYL-ALPHA-D-GLUCOPYRANOSE	C10 H17 N O10 S
54M	1	(5R)-5-(4-METHOXYPHENYL)-5-(3-PYRIMIDIN-5-YLPHENYL)-3,4-DIHYDROPYRROL-2-AMINE	C21 H20 N4 O
MB1	1	2-CHLORO-5-NITROBENZENESULFONAMIDE	C6 H5 CL N2 O4 S
SC7	1	N'-{(1S,2R)-1-(3,5-DIFLUOROBENZYL)-2-[(2R,4S)-4-ETHOXYPIPERIDIN-2-YL]-2-HYDROXYETHYL}-5-METHYL-N,N-DIPROPYLISOPHTHALAMIDE	C31 H43 F2 N3 O4
I20	1	(2S)-2-({(2S)-3-[(R)-[(1R)-1-({(4S)-4-AMINO-5-[(2S)-2-CYANOPYRROLIDIN-1-YL]-5-OXOPENTANOYL}AMINO)ETHYL](HYDROXY)PHOSPHORYL]-2-BENZYLPROPANOYL}AMINO)PROPANOIC ACID	C25 H36 N5 O7 P
BTY	1	4-AMINO-7-METHYLPYRAZOLO[1,5-A][1,3,5]TRIAZIN-2(1H)-ONE	C6 H7 N5 O
SG5	1	2,3,4-TRI-O-PROPANOYL-6-O-SULFAMOYL-ALPHA-D-GLUCOPYRANOSE	C15 H25 N O11 S
MG5	1	2,3,4-TRI-O-PROPANOYL-6-O-SULFAMOYL-BETA-D-GLUCOPYRANOSE	C15 H25 N O11 S
HZ3	1	DIMETHYL (1R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPTA-2,5-DIENE-2,3-DICARBOXYLATE	C22 H18 O7
CZO	1	[(2R,4S)-2-[(1S,2R)-1-AMINO-2-HYDROXYPROPYL]-2-HYDROXY-4-(4-HYDROXYBENZYL)-5-OXOIMIDAZOLIDIN-1-YL]ACETIC ACID	C15 H21 N3 O6
M07	1	(5R,7R,8S,9S,10R)-7-(HYDROXYMETHYL)-3-(4-METHOXYPHENYL)-1,6-DIOXA-2-AZASPIRO[4.5]DEC-2-ENE-8,9,10-TRIOL	C15 H19 N O7
M08	1	(5R,7R,8S,9S,10R)-7-(HYDROXYMETHYL)-3-PHENYL-1,6-DIOXA-2-AZASPIRO[4.5]DEC-2-ENE-8,9,10-TRIOL	C14 H17 N O6
M09	1	(3S,5R,7R,8S,9S,10R)-7-(HYDROXYMETHYL)-3-(4-NITROPHENYL)-1,6-DIOXA-2-AZASPIRO[4.5]DECANE-8,9,10-TRIOL	C14 H18 N2 O8
S06	1	(3S,5R,7R,8S,9S,10R)-7-(HYDROXYMETHYL)-3-(2-NAPHTHYL)-1,6-DIOXA-2-AZASPIRO[4.5]DECANE-8,9,10-TRIOL	C18 H21 N O6
S13	1	(3S,5R,7R,8S,9S,10R)-7-(HYDROXYMETHYL)-3-(4-METHYLPHENYL)-1,6-DIOXA-2-AZASPIRO[4.5]DECANE-8,9,10-TRIOL	C15 H21 N O6
1HP	1	4-(2-AMINO-1-METHYL-1H-IMIDAZO[4,5-B]PYRIDIN-6-YL)PHENOL	C13 H12 N4 O
RQQ	1	N-[(4-METHOXYPHENYL)METHYL]QUINOXALINE-6-CARBOXAMIDE	C17 H15 N3 O2
CJO	1	[(2R,4R)-2-[(1R,2R)-1-AMINO-2-HYDROXYPROPYL]-4-(4-HYDROXYBENZYL)-5-OXOIMIDAZOLIDIN-1-YL]ACETIC ACID	C15 H21 N3 O5
524	1	(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE	C22 H31 F N6 O2
474	1	(2S,3S)-3-AMINO-4-(3,3-DIFLUOROPYRROLIDIN-1-YL)-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-6-YLCYCLOHEXYL)BUTANAMIDE	C22 H30 F2 N6 O2
Z2M	1	3-CYCLOPROPYL-4-(FURAN-2-YL)-1H-PYRAZOLO[3,4-B]PYRIDINE	C13 H11 N3 O
W0I	1	4-FLUORO-5-HEXYL-2-PHENOXYPHENOL	C18 H21 F O2
3AS	1	(3AS,4R,9BR)-2,2-DIFLUORO-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL	C20 H20 F2 O4
251	1	N-[AMINO(IMINO)METHYL]-2-(2,5-DIPHENYL-1H-PYRROL-1-YL)ACETAMIDE	C19 H18 N4 O
462	1	N-[AMINO(IMINO)METHYL]-2-[2-(2-CHLOROPHENYL)-4-(4-PROPOXYPHENYL)-3-THIENYL]ACETAMIDE	C22 H22 CL N3 O2 S
276	1	4-[[2-[[4-CHLORO-3-(TRIFLUOROMETHYL)PHENYL]AMINO]-3H-BENZIMIDAZOL-5-YL]OXY]-N-METHYL-PYRIDINE-2-CARBOXAMIDE	C21 H15 CL F3 N5 O2
857	1	4-({2-[(4-CHLORO-3-{[(2S)-1-METHYLPYRROLIDIN-2-YL]METHOXY}PHENYL)AMINO]-1,3-BENZOXAZOL-5-YL}OXY)-N-METHYLPYRIDINE-2-CARBOXAMIDE	C26 H26 CL N5 O4
HAU	1	1-ACETYL-N-(5-METHYLPYRIDIN-2-YL)PIPERIDINE-4-CARBOXAMIDE	C14 H19 N3 O2
WVI	1	3-METHYL-4-(THIOPHEN-2-YL)-1H-PYRAZOL-5-AMINE	C8 H9 N3 S
QV4	1	4,6-DIDEOXY-4-{[(1S,4R,5R,6S)-4-{[ALPHA-D-GLUCOPYRANOSYL-(1->4)-ALPHA-D-GLUCOPYRANOSYL-(1->4)-ALPHA-D-GLUCOPYRANOSYL]OXY}-5,6-DIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}-ALPHA-D-GLUCOPYRANOSE	C31 H53 N O23
247	1	(3R)-3-AMINO-2,2-DIFLUORO-3-(4-HYDROXYPHENYL)PROPANOIC ACID	C9 H9 F2 N O3
P3J	1	3-(PYRIDIN-3-YL)-1H-PYRAZOL-5-AMINE	C8 H8 N4
H3R	1	5-METHYL-3-PHENYL-1H-PYRAZOLE	C10 H10 N2
CWS	1	6-METHYLQUINAZOLIN-4-AMINE	C9 H9 N3
3MG	1	3-O-METHYL-BETA-D-GLUCOPYRANOSE	C7 H14 O6
GNA	1	2,4-DEOXY-4-GUANIDINO-5-N-ACETYL-NEURAMINIC ACID	C12 H22 N4 O7
NXU	1	(2R,4S)-2-[(1R)-2-HYDROXY-1-{[(2-HYDROXYNAPHTHALEN-1-YL)CARBONYL]AMINO}ETHYL]-5,5-DIMETHYL-1,3-THIAZOLIDINE-4-CARBOXYLIC ACID	C19 H22 N2 O5 S
K7I	1	L-ALANYL-N-[(1S,2R)-1-BENZYL-2-HYDROXYPROPYL]-L-ALANINAMIDE	C16 H25 N3 O3
I21	1	2-[(5R)-5-AMINO-5-METHYL-4,16-DIOXO-14-PHENYL-3-OXA-15-AZATRICYCLO[15.3.1.1~7,11~]DOCOSA-1(21),7(22),8,10,12,14,17,19-OCTAEN-19-YL]BENZONITRILE	C34 H27 N3 O3
IXS	1	N-[(1S)-1-BENZYL-2-{[(1S)-2-(ISOBUTYLAMINO)-1-METHYL-2-OXOETHYL]AMINO}ETHYL]-N'-[(1R)-1-(4-FLUOROPHENYL)ETHYL]-5-[METHYL(METHYLSULFONYL)AMINO]ISOPHTHALAMIDE	C34 H44 F N5 O5 S
S79	1	6-AMINO-2-[(1-NAPHTHYLMETHYL)AMINO]-3,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE	C20 H16 N6 O
OEG	1	2,2'-OXYDIACETIC ACID	C4 H6 O5
Z0O	1	1-(TERT-BUTYL)-3-(QUINOXALIN-6-YL)UREA	C13 H16 N4 O
ODH	1	N-(FURAN-2-YLMETHYL)QUINOXALINE-6-CARBOXAMIDE	C14 H11 N3 O2
W33	1	5-(5-(6-CHLORO-4-(4,5-DIHYDRO-2-OXAZOLYL)PHENOXY)PENTYL)-3-METHYL ISOXAZOLE	C18 H21 CL N2 O3
7CK	1	7-CARBOXY-5-HYDROXY-12,13-DIHYDRO-6H-INDOLO[2,3-A]PYRROLO[3,4-C]CARBAZOLE	C21 H13 N3 O3
4NI	1	4-NITROBUTANOIC ACID	C4 H7 N O4
TGC	1	3-THIAGLUTARYL-COA	C25 H40 N7 O19 P3 S2
M54	1	6-(3-AMINOPROPYL)-4-(3-HYDROXYPHENYL)-9-(1H-PYRAZOL-4-YL)BENZO[H]ISOQUINOLIN-1(2H)-ONE	C25 H22 N4 O2
ODO	1	4-[(E)-C-METHYL-N-OXIDANYL-CARBONIMIDOYL]BENZENE-1,3-DIOL	C8 H9 N O3
VFB	1	3,4-DIHYDRO[1,2,4]TRIAZOLO[1,5-A][3,1]BENZIMIDAZOL-9-IUM	C8 H7 N4 1
21D	1	NAPHTHALENE-1,5-DISULFONIC ACID	C10 H8 O6 S2
DYS	1	S-[5-(2-AMINOETHYL)-2,3-DIHYDROXYPHENYL]-L-CYSTEINE	C11 H16 N2 O4 S
NYS	1	S-{5-[(1R)-2-AMINO-1-HYDROXYETHYL]-2,3-DIHYDROXYPHENYL}-L-CYSTEINE	C11 H16 N2 O5 S
KDD	1	2,6-ANHYDRO-3,5-DIDEOXY-D-RIBO-OCT-2-ENONIC ACID	C8 H12 O6
KDR	1	PROP-2-EN-1-YL 3-DEOXY-ALPHA-D-MANNO-OCTOS-2-ULOPYRANOSIDE	C11 H18 O7
KO1	1	D-GLYCERO-ALPHA-D-TALO-OCT-2-ULOPYRANOSONIC ACID	C8 H14 O9
KDE	1	PROP-2-EN-1-YL 3-DEOXY-BETA-L-GULO-OCT-2-ULOPYRANOSIDONIC ACID	C11 H18 O8
PB9	1	METHYL 4-{[{(3S)-6-CYANO-1-[(1-METHYL-1H-IMIDAZOL-5-YL)METHYL]-1,2,3,4-TETRAHYDROQUINOLIN-3-YL}(PYRIDIN-2-YLSULFONYL)AMINO]METHYL}PIPERIDINE-1-CARBOXYLATE	C28 H33 N7 O4 S
I50	1	N-[2-({[AMINO(IMINO)METHYL]AMINO}OXY)ETHYL]-2-{6-CHLORO-3-[(2,2-DIFLUORO-2-PHENYLETHYL)AMINO]-2-FLUOROPHENYL}ACETAMIDE	C19 H21 CL F3 N5 O2
BTZ	1	N-(4-{[AMINO(IMINO)METHYL]AMINO}BUTYL)-2,4'-BI-1,3-THIAZOLE-4-CARBOXAMIDE	C12 H16 N6 O S2
4PG	1	1-[4-(2-OXO-2-PHENYLETHYL)PHENYL]GUANIDINE	C15 H15 N3 O
SC8	1	5-(2,3-DICHLOROPHENYL)-N-(PYRIDIN-4-YLMETHYL)PYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	C18 H13 CL2 N5
SC9	1	6-(2-FLUOROPHENYL)-N-(PYRIDIN-3-YLMETHYL)IMIDAZO[1,2-A]PYRAZIN-8-AMINE	C18 H14 F N5
SCE	1	3-METHYL-N-(PYRIDIN-4-YLMETHYL)IMIDAZO[1,2-A]PYRAZIN-8-AMINE	C13 H13 N5
SCF	1	5-(2-FLUOROPHENYL)-N-(PYRIDIN-4-YLMETHYL)PYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	C18 H14 F N5
SCJ	1	3-BROMO-5-PHENYL-N-(PYRIDIN-3-YLMETHYL)PYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	C18 H14 BR N5
SCQ	1	3-BROMO-5-PHENYL-N-(PYRIMIDIN-5-YLMETHYL)PYRAZOLO[1,5-A]PYRIDIN-7-AMINE	C18 H14 BR N5
SCW	1	3-BROMO-6-PHENYL-N-(PYRIMIDIN-5-YLMETHYL)IMIDAZO[1,2-A]PYRIDIN-8-AMINE	C18 H14 BR N5
SCX	1	N-((2-AMINOPYRIMIDIN-5-YL)METHYL)-5-(2,6-DIFLUOROPHENYL)-3-ETHYLPYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	C19 H17 F2 N7
SCZ	1	3-CYCLOPROPYL-5-PHENYL-N-(PYRIDIN-3-YLMETHYL)PYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	C21 H19 N5
2SC	1	(5-PHENYL-7-(PYRIDIN-3-YLMETHYLAMINO)PYRAZOLO[1,5-A]PYRIMIDIN-3-YL)METHANOL	C19 H17 N5 O
3SC	1	5-(2,3-DICHLOROPHENYL)-N-(PYRIDIN-4-YLMETHYL)-3-THIOCYANATOPYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	C19 H12 CL2 N6 S
5SC	1	3-((3-BROMO-5-O-TOLYLPYRAZOLO[1,5-A]PYRIMIDIN-7-YLAMINO)METHYL)PYRIDINE 1-OXIDE	C19 H16 BR N5 O
6SC	1	3-BROMO-5-PHENYL-N-(PYRIDIN-4-YLMETHYL)PYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE	C18 H14 BR N5
20E	1	(2BETA,3BETA,5BETA,22R)-2,3,14,20,22,25-HEXAHYDROXYCHOLEST-7-EN-6-ONE	C27 H44 O7
GW7	1	N-{3-CHLORO-4-[(3-FLUOROBENZYL)OXY]PHENYL}-6-ETHYLTHIENO[3,2-D]PYRIMIDIN-4-AMINE	C21 H17 CL F N3 O S
RIE	1	(3R,5R)-7-[1-(4-FLUOROPHENYL)-4-(1-METHYLETHYL)-3-{METHYL[(1R)-1-PHENYLETHYL]CARBAMOYL}-1H-PYRAZOL-5-YL]-3,5-DIHYDROXYHEPTANOIC ACID	C29 H36 F N3 O5
PH0	1	N-{(2S)-3-[(R)-[(1R)-1-AMINO-2-PHENYLETHYL](HYDROXY)PHOSPHORYL]-2-BENZYLPROPANOYL}-L-PHENYLALANINE	C27 H31 N2 O5 P
14R	1	5-BENZYL-2-ETHYL-3-{(1S)-5-[2-(1H-TETRAZOL-5-YL)PHENYL]-2,3-DIHYDRO-1H-INDEN-1-YL}-3,5-DIHYDRO-4H-IMIDAZO[4,5-C]PYRIDIN-4-ONE	C31 H27 N7 O
0KW	1	N-(4-CHLOROPHENYL)-N'-{(S)-[5-(2-HYDROXYETHYL)-4-METHYL-1,3-THIAZOL-2-YL][(2S)-PIPERIDIN-2-YL]METHYL}ETHANEDIAMIDE	C20 H25 CL N4 O3 S
QLP	1	N~2~-({3-HYDROXY-2-METHYL-5-[(PHOSPHONOOXY)METHYL]PYRIDIN-4-YL}METHYL)-L-GLUTAMINE	C13 H20 N3 O8 P
HHH	1	(2S)-HYDROXY(4-HYDROXYPHENYL)ETHANOIC ACID	C8 H8 O4
740	1	N-[5-(1,1-DIOXIDOISOTHIAZOLIDIN-2-YL)-1H-INDAZOL-3-YL]-2-(4-PIPERIDIN-1-YLPHENYL)ACETAMIDE	C23 H27 N5 O3 S
CKE	1	1-{7-CYCLOHEXYL-6-[4-(4-METHYLPIPERAZIN-1-YL)BENZYL]-7H-PYRROLO[2,3-D]PYRIMIDIN-2-YL}METHANAMINE	C25 H34 N6
LLB	1	[6-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOTHIEN-3-YL]{4-[2-(4-METHYLPIPERIDIN-1-YL)ETHOXY]PHENYL}METHANONE	C29 H29 N O4 S
LLC	1	[6-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOTHIEN-3-YL][4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]METHANONE	C27 H25 N O4 S
01G	1	8-MORPHOLIN-4-YLGUANOSINE 5'-(TETRAHYDROGEN TRIPHOSPHATE)	C14 H23 N6 O15 P3
253	1	10,11-DIMETHOXY-4-METHYLDIBENZO[C,F]-2,7-NAPHTHYRIDINE-3,6-DIAMINE	C19 H18 N4 O2
PSH	1	1-THIOPHOSPHONO-L-HISTIDINE	C6 H10 N3 O4 P S
FAI	1	5-(FORMYLAMINO)-1-(5-O-PHOSPHONO-BETA-D-RIBOFURANOSYL)-1H-IMIDAZOLE-4-CARBOXAMIDE	C10 H15 N4 O9 P
T5X	1	2-C-{3-[(4-AMINO-2-METHYLPYRIMIDIN-5-YL)METHYL]-5-(2-{[(R)-HYDROXY(PHOSPHONOOXY)PHOSPHORYL]OXY}ETHYL)-4-METHYL-1,3-THIAZOL-3-IUM-2-YL}-5-O-PHOSPHONO-D-XYLITOL	C17 H30 N4 O15 P3 S 1
T6F	1	2-C-{3-[(4-AMINO-2-METHYLPYRIMIDIN-5-YL)METHYL]-5-(2-{[(R)-HYDROXY(PHOSPHONOOXY)PHOSPHORYL]OXY}ETHYL)-4-METHYL-1,3-THIAZOL-3-IUM-2-YL}-6-O-PHOSPHONO-D-GLUCITOL	C18 H32 N4 O16 P3 S 1
GRD	1	BENZYL (S)-1-((2S,3S)-1-(3-(6-AMINO-9H-PURIN-9-YL)PROPYLAMINO)-2-HYDROXY-1-OXOPENTAN-3-YLAMINO)-4-METHYL-1-OXOPENTAN-2-YLCARBAMATE	C27 H38 N8 O5
SDX	1	S-CITRYLDETHIA COENZYME A	C28 H46 N7 O22 P3
K2Z	1	BENZYL [(1S)-1-{[(1S,2S)-1-ETHYL-2-HYDROXY-3-{[3-(4-METHYLPIPERAZIN-1-YL)PROPYL]AMINO}-3-OXOPROPYL]CARBAMOYL}-3-METHYLBUTYL]CARBAMATE	C27 H45 N5 O5
114	1	(3R,5R)-3,5-DIHYDROXY-7-[(1S,2S,8S,8AR)-2-METHYL-8-{[(2S)-2-METHYLBUTANOYL]OXY}-1,2,6,7,8,8A-HEXAHYDRONAPHTHALEN-1-YL]HEPTANOIC ACID	C23 H36 O6
SGI	1	3-(4-HYDROXYPHENYL)PROPANAMIDE	C9 H11 N O2
Y11	1	N-[(1S)-2-[(4-CYANO-1-METHYLPIPERIDIN-4-YL)AMINO]-1-(CYCLOHEXYLMETHYL)-2-OXOETHYL]MORPHOLINE-4-CARBOXAMIDE	C21 H35 N5 O3
Y14	1	N-[(1S)-2-{[(3S)-1-BENZYL-3-CYANOPYRROLIDIN-3-YL]AMINO}-1-(CYCLOHEXYLMETHYL)-2-OXOETHYL]MORPHOLINE-4-CARBOXAMIDE	C26 H37 N5 O3
Y15	1	N-[(1S)-2-{[(1R)-2-(BENZYLOXY)-1-CYANO-1-METHYLETHYL]AMINO}-1-(CYCLOHEXYLMETHYL)-2-OXOETHYL]MORPHOLINE-4-CARBOXAMIDE	C25 H36 N4 O4
255	1	N-(TERT-BUTYL)-4-[5-(PYRIDIN-2-YLAMINO)QUINOLIN-3-YL]BENZENESULFONAMIDE	C24 H24 N4 O2 S
23C	1	2-[(1R)-1-CARBOXY-2-NAPHTHALEN-1-YLETHYL]-1,3-DIOXO-2,3-DIHYDRO-1H-ISOINDOLE-5-CARBOXYLIC ACID	C22 H15 N O6
WH6	1	2-[(1R)-2-CARBOXY-1-(NAPHTHALEN-1-YLMETHYL)ETHYL]-1,3-DIOXO-2,3-DIHYDRO-1H-ISOINDOLE-5-CARBOXYLIC ACID	C23 H17 N O6
JNJ	1	1-(3-AMINO-1,2-BENZISOXAZOL-5-YL)-6-(4-{2-[(DIMETHYLAMINO)METHYL]-1H-IMIDAZOL-1-YL}-2-FLUOROPHENYL)-7-FLUORO-1H-INDAZOLE-3-CARBOXAMIDE	C27 H22 F2 N8 O2
ETY	1	4-ETHYLPHENOL	C8 H10 O
11P	1	[(7R)-6,7-DIHYDRO-5H-CYCLOPENTA[C]PYRIDIN-7-YL(HYDROXY)METHYLENE]BIS(PHOSPHONIC ACID)	C9 H13 N O7 P2
258	1	(2-CHLOROETHOXY)BENZENE	C8 H9 CL O
259	1	1-(METHYLSULFANYL)-4-NITROBENZENE	C7 H7 N O2 S
260	1	2-(BROMOMETHYL)-1,3-DIFLUOROBENZENE	C7 H5 BR F2
ZMG	1	(5R)-2-[(2-FLUOROPHENYL)AMINO]-5-(1-METHYLETHYL)-1,3-THIAZOL-4(5H)-ONE	C12 H13 F N2 O S
264	1	(PHENYLAMINO)ACETONITRILE	C8 H8 N2
265	1	2-NITROTHIOPHENE	C4 H3 N O2 S
266	1	2-(PROPYLSULFANYL)ETHANOL	C5 H12 O S
268	1	2-PHENOXYETHANOL	C8 H10 O2
269	1	(1R)-3-CHLORO-1-PHENYLPROPAN-1-OL	C9 H11 CL O
271	1	N-METHYL-1-PHENYLMETHANAMINE	C8 H11 N
273	1	CYCLOPENTANECARBOXIMIDAMIDE	C6 H12 N2
278	1	1-(1-METHYL-1H-PYRROL-2-YL)METHANAMINE	C6 H10 N2
275	1	5-AMINO-1,2-DIMETHYLPYRIDINIUM	C7 H11 N2 1
280	1	1-METHYL-1H-IMIDAZOLE-5-CARBALDEHYDE	C5 H6 N2 O
282	1	3-METHOXYPYRIDINE	C6 H7 N O
284	1	(4S)-4-METHYL-1,4,5,6-TETRAHYDROPYRIDIN-2-AMINE	C6 H12 N2
285	1	(2R,4R,5R)-2,4,5-TRIMETHYL-1,3-OXAZOLIDINE	C6 H13 N O
286	1	2-ETHENYL-1-METHYLPYRIDINIUM	C8 H10 N 1
BUJ	1	(3R)-3-(HEXADECANOYLAMINO)-4-(TRIMETHYLAMMONIO)BUTANOATE	C23 H46 N2 O3
AAI	1	TRANS-4-(7-CARBAMOYL-1H-BENZIMIDAZOL-2-YL)-1-PROPYLPIPERIDINIUM	C16 H22 N4 O
SM4	1	(1R)-1-(2-THIOPHEN-2-YL-ACETYLAMINO)-1-(3-(2-CARBOXYVINYL)-PHENYL) METHYLBORONIC ACID	C16 H16 B N O5 S
2RD	1	5-(DODECYLTHIO)-1H-1,2,3-TRIAZOLE-4-CARBOXYLIC ACID	C15 H27 N3 O2 S
REW	1	(2S,3S)-1-(4-METHOXYPHENYL)-3-(3-(2-(5-METHYL-2-PHENYLOXAZOL-4-YL)ETHOXY)BENZYL)-4-OXOAZETIDINE-2-CARBOXYLIC ACID	C30 H28 N2 O6
MRX	1	5-BROMO-3-(PYRROLIDIN-1-YLSULFONYL)-1H-INDOLE-2-CARBOXAMIDE	C13 H14 BR N3 O3 S
23N	1	(2R)-2-BENZYL-3-NITROPROPANOIC ACID	C10 H11 N O4
AM7	1	2-BENZYL-5-(3-FLUORO-4-{[6-METHOXY-7-(3-MORPHOLIN-4-YLPROPOXY)QUINOLIN-4-YL]OXY}PHENYL)-3-METHYLPYRIMIDIN-4(3H)-ONE	C35 H35 F N4 O5
AM8	1	N-(3-CHLOROPHENYL)-N-METHYL-2-OXO-3-[(3,4,5-TRIMETHYL-1H-PYRROL-2-YL)METHYL]-2H-INDOLE-5-SULFONAMIDE	C23 H22 CL N3 O3 S
BG1	1	O-[(2S)-2-{METHYL[(METHYLAMINO)SULFONYL]AMINO}PENTANOYL]-L-SERINE	C10 H21 N3 O6 S
279	1	N-ETHYL-4-{[5-(METHOXYCARBAMOYL)-2-METHYLPHENYL]AMINO}-5-METHYLPYRROLO[2,1-F][1,2,4]TRIAZINE-6-CARBOXAMIDE	C19 H22 N6 O3
287	1	4-{[5-(METHOXYCARBAMOYL)-2-METHYLPHENYL]AMINO}-5-METHYL-N-[(1S)-1-PHENYLETHYL]PYRROLO[2,1-F][1,2,4]TRIAZINE-6-CARBOXAMIDE	C25 H26 N6 O3
HYZ	1	N-[1-(3-FLUOROBENZYL)-1H-INDAZOL-5-YL]-5-[(PIPERIDIN-1-YLAMINO)METHYL]PYRIMIDINE-4,6-DIAMINE	C24 H27 F N8
356	1	8-[(3R)-3-AMINOPIPERIDIN-1-YL]-7-BUT-2-YN-1-YL-3-METHYL-1-[(4-METHYLQUINAZOLIN-2-YL)METHYL]-3,7-DIHYDRO-1H-PURINE-2,6-DIONE	C25 H28 N8 O2
C0E	1	3-FLUORO-6-(4-FLUOROPHENYL)-2-HYDROXY-6-OXOHEXA-2,4-DIENOIC ACID	C12 H8 F2 O4
LDY	1	ALPHA-D-LYXOPYRANOSE	C5 H10 O5
B1R	1	[(1,2,3,4,5-ETA)-CYCLOPENTADIENYL][(1,2,3,4,5-ETA)-{5-[(3AS,4S,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOYL}CYCLOPENTADIENYL]RUTHENIUM	C20 H16 N2 O2 RU S
34Q	1	(3R,4R)-4-(PYRROLIDIN-1-YLCARBONYL)-1-(QUINOXALIN-2-YLCARBONYL)PYRROLIDIN-3-AMINE	C18 H21 N5 O2
DA8	1	OCTYL 3-DEOXY-2-O-(6-DEOXY-ALPHA-L-GALACTOPYRANOSYL)-BETA-D-XYLO-HEXOPYRANOSIDE	C20 H38 O9
886	1	N-({4'-[(4-ISOBUTYRYLPHENOXY)METHYL]BIPHENYL-4-YL}SULFONYL)-D-VALINE	C28 H31 N O6 S
