id	count	name	formula
BEN	183	BENZAMIDINE	C7 H8 N2
CU1	176	COPPER (I) ION	CU 1
AZI	175	AZIDE ION	N3 -1
PYR	169	PYRUVIC ACID	C3 H4 O3
DTT	166	2,3-DIHYDROXY-1,4-DITHIOBUTANE	C4 H10 O2 S2
AKG	164	2-OXOGLUTARIC ACID	C5 H6 O5
M3L	164	N-TRIMETHYLLYSINE	C9 H21 N2 O2 1
NAI	163	1,4-DIHYDRONICOTINAMIDE ADENINE DINUCLEOTIDE	C21 H29 N7 O14 P2
MYR	161	MYRISTIC ACID	C14 H28 O2
FUL	160	BETA-L-FUCOSE	C6 H12 O5
OCS	159	CYSTEINESULFONIC ACID	C3 H7 N O5 S
HED	158	2-HYDROXYETHYL DISULFIDE	C4 H10 O2 S2
HYP	155	4-HYDROXYPROLINE	C5 H9 N O3
LDA	155	LAURYL DIMETHYLAMINE-N-OXIDE	C14 H31 N O
UMP	153	2'-DEOXYURIDINE 5'-MONOPHOSPHATE	C9 H13 N2 O8 P
NH4	151	AMMONIUM ION	H4 N 1
SIN	150	SUCCINIC ACID	C4 H6 O4
ACP	149	PHOSPHOMETHYLPHOSPHONIC ACID ADENYLATE ESTER	C11 H18 N5 O12 P3
5MU	146	5-METHYLURIDINE 5'-MONOPHOSPHATE	C10 H15 N2 O9 P
MAL	145	MALTOSE	C12 H22 O11
ACO	144	ACETYL COENZYME *A	C23 H38 N7 O17 P3 S
CYN	140	CYANIDE ION	C N -1
GLA	139	ALPHA D-GALACTOSE	C6 H12 O6
THP	138	THYMIDINE-3',5'-DIPHOSPHATE	C10 H16 N2 O11 P2
CAS	136	S-(DIMETHYLARSENIC)CYSTEINE	C5 H12 AS N O2 S
FME	135	N-FORMYLMETHIONINE	C6 H11 N O3 S
ALY	135	N(6)-ACETYLLYSINE	C8 H16 N2 O3
DIO	134	1,4-DIETHYLENE DIOXIDE	C4 H8 O2
7MG	132	7N-METHYL-8-HYDROGUANOSINE-5'-MONOPHOSPHATE	C11 H18 N5 O8 P
CRO	131	{2-[(1R,2R)-1-AMINO-2-HYDROXYPROPYL]-4-(4-HYDROXYBENZYLIDENE)-5-OXO-4,5-DIHYDRO-1H-IMIDAZOL-1-YL}ACETIC ACID	C15 H17 N3 O5
5MC	129	5-METHYLCYTIDINE-5'-MONOPHOSPHATE	C10 H16 N3 O8 P
BCT	128	BICARBONATE ION	C H O3 -1
8OG	127	8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE	C10 H14 N5 O8 P
ABA	126	ALPHA-AMINOBUTYRIC ACID	C4 H9 N O2
BTB	126	2-[BIS-(2-HYDROXY-ETHYL)-AMINO]-2-HYDROXYMETHYL-PROPANE-1,3-DIOL	C8 H19 N O5
DTP	123	2'-DEOXYADENOSINE 5'-TRIPHOSPHATE	C10 H16 N5 O12 P3
SR	122	STRONTIUM ION	SR 2
ADN	121	ADENOSINE	C10 H13 N5 O4
5CM	120	5-METHYL-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE	C10 H16 N3 O7 P
LMT	120	DODECYL-BETA-D-MALTOSIDE	C24 H46 O11
BA	119	BARIUM ION	BA 2
XE	118	XENON	XE
3DR	115	1',2'-DIDEOXYRIBOFURANOSE-5'-PHOSPHATE	C5 H11 O6 P
NO	113	NITRIC OXIDE	N O
H2U	113	5,6-DIHYDROURIDINE-5'-MONOPHOSPHATE	C9 H15 N2 O9 P
OMG	112	O2'-METHYLGUANOSINE-5'-MONOPHOSPHATE	C11 H16 N5 O8 P
BEF	111	BERYLLIUM TRIFLUORIDE ION	BE F3 -1
BCL	110	BACTERIOCHLOROPHYLL A	C55 H74 MG N4 O6
A2G	110	N-ACETYL-2-DEOXY-2-AMINO-GALACTOSE	C8 H15 N O6
TPP	110	THIAMINE DIPHOSPHATE	C12 H19 N4 O7 P2 S 1
C8E	110	(HYDROXYETHYLOXY)TRI(ETHYLOXY)OCTANE	C16 H34 O5
2MG	109	2N-METHYLGUANOSINE-5'-MONOPHOSPHATE	C11 H16 N5 O8 P
SPM	107	SPERMINE	C10 H26 N4
PE4	107	2-{2-[2-(2-{2-[2-(2-ETHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHOXY]-ETHOXY}-ETHANOL	C16 H34 O8
CSX	107	S-OXY CYSTEINE	C3 H7 N O3 S
BRU	106	5-BROMO-2'-DEOXYURIDINE-5'-MONOPHOSPHATE	C9 H12 BR N2 O8 P
OMC	106	O2'-METHYLYCYTIDINE-5'-MONOPHOSPHATE	C10 H16 N3 O8 P
BEZ	105	BENZOIC ACID	C7 H6 O2
TTP	104	THYMIDINE-5'-TRIPHOSPHATE	C10 H17 N2 O14 P3
OH	103	HYDROXIDE ION	H O -1
ALF	102	TETRAFLUOROALUMINATE ION	AL F4 -1
CDL	102	CARDIOLIPIN	C81 H156 O17 P2 -2
DGT	102	2'-DEOXYGUANOSINE-5'-TRIPHOSPHATE	C10 H16 N5 O13 P3
U10	100	UBIQUINONE-10	C59 H90 O4
NHE	99	2-[N-CYCLOHEXYLAMINO]ETHANE SULFONIC ACID	C8 H17 N O3 S
1MA	99	6-HYDRO-1-METHYLADENOSINE-5'-MONOPHOSPHATE	C11 H16 N5 O7 P
APC	99	DIPHOSPHOMETHYLPHOSPHONIC ACID ADENOSYL ESTER	C11 H18 N5 O12 P3
MLA	99	MALONIC ACID	C3 H4 O4
M2G	98	N2-DIMETHYLGUANOSINE-5'-MONOPHOSPHATE	C12 H18 N5 O8 P
UR3	98	3-METHYLURIDINE-5'-MONOPHOSHATE	C10 H15 N2 O9 P
5GP	97	GUANOSINE-5'-MONOPHOSPHATE	C10 H14 N5 O8 P
ADE	96	ADENINE	C5 H5 N5
